name,description,url,cover_image
Solarpunk Futures,"THE PRESENTOur newly renamed podcast, Solarpunk Futures: Demand Utopia! launched its first episode on April 19, 2024. Join host Justine Norton-Kertson (founder and co-editor-in-chief of Solarpunk Magazine) and occasional guests for discussions of topics related to utopianism in general, and solarpunk in particular as both a genre of literature-art that imagines a utopian future and a social movement taking practical action and steps to build a better world right here in the present.THE PASTSolarpunk Futures is an optimistic, utopian science fiction podcast that imagines a new world where humanity, technology, and nature coexist in harmony rather in the conflict. The podcast is produced by Android Press and Solarpunk Magazine. Hosts read stories and poems that were published in the most recent issue of Solarpunk Magazine, and discuss nonfiction articles that are relevant to the solarpunk movement aimed at solving the climate crisis and creating a sustainable future. One episode of the Solarpunk Futures podcast is released every other Tuesday.Beginning in fall 2022, Solarpunk Presents was launched as a companion podcast to Solarpunk Futures. Hosted by non-fiction coeditors Ariel Kroon and Christina De La Rocha, Solarpunk Presents will feature interviews with activists, artists, organizers, and changemakers who are working towards realizing a solarpunk future, today. In January of 2023, Solarpunk Presents went off on its own as a separate podcast. Get bonus content on Patreon Hosted on Acast. See acast.com/privacy for more information.",https://open.spotify.com/show/5298TELo2RcKXFxWb272T1,https://i.scdn.co/image/ab6765630000ba8a883feadcff09e435ba063b35
"Publishing Rodeo: The Good, The Bad, and the Bloody Ugly","In 2022, two authors debuted in the same genre, with the same publisher, in the same year. Yet each of their books, and subsequently each of their careers, went in very different directions. That pattern repeats itself throughout the industry, over and over. Why does this happen, and what does it mean?In this Hugo-nominated podcast, we aim to answer those questions and many more, using collated experiences from ourselves, friends, colleagues, and a slew of industry professionals in an attempt to deconstruct what makes or breaks a book, along with how to build–and maintain!–an author career.",https://open.spotify.com/show/78ymwTwuwtLRGdR6DWDOJm,https://i.scdn.co/image/ab6765630000ba8a26ef64f60dab9443cc608d92
Song Swap Showdown: Your Weekly Musical Throwdown Show!,"Ever swapped songs with a friend who's on a different musical planet? Join hosts Chris and Amanda on Song Swap Showdown, where they SWAP three songs each week based on a theme, exploring the lyrics, melodies, meanings, and history behind the music. From rock to country, no genre is off-limits. They rate the songs on a scale of 1-5 records, with 1 being a dumpster fire and 5 being heavenly music to their ears. Whether you're a music aficionado or just looking for new tunes, Song Swap Showdown is your go-to podcast for music reviews, history, and fun! Join us every week for a new show! Support this podcast: https://podcasters.spotify.com/pod/show/songswapshowdown/support",https://open.spotify.com/show/7z14kvgyOiaECnuSwEZrDE,https://i.scdn.co/image/ab6765630000ba8a60957aa8a4c734fd0e70dc6b
Warp World Podcast,"The Warp World Podcast gives you a weekly update regarding the latest trend of video games, streaming and technology. Team Warp World also features updates to their current projects in the streaming world. Hosted by GrandPOOBear, jaku and xWater!  GrandPOOBear is a full time Twich streamer, Youtuber and speedrunner, best known for his top level Mario gameplay. He has been featured on news sites such as Kotaku, IGN, Forbes Magazine, and Destructoid.   Jaku is world renowned for his security research in multiple areas. Jaku and his research has been featured by media including: Wired, Network World, The Washington Post, eWeek, PC World, CNET, Computerworld, CNN, Gizmodo, NPR & Forbes. Jaku is the original owner and creator of the Warp World franchise and leads the team towards the future of gaming.  xWater is an enthusiastic content creator, sharing his passion of gaming full time here on the Podcast, Youtube, Twitch, and just about everywhere else. Known mostly for disgusting shower habits, he's also a talented player across a number of genres. There is nothing he WONT do!  Together they talk about cool new technology, streaming news, as well as overall gaming news.",https://open.spotify.com/show/6GDJ1Ny7vHlshhsZK4XBkn,https://i.scdn.co/image/ab6765630000ba8ab3f84ced2b1777e19a848aa3
Nuisance Gaming +,"Nuisance Gaming + (anciennement Radiolibrius) est un podcast périodique dédié au jeu vidéo et à ses cultures. Traditionnellement animée par Olbius (@pierrolbius), @Moniqueduterter et Mikaouel (@TalkMyFootball), l'émission existe depuis 2016 et a largement évolué depuis. Au départ structurée autour de l'actualité vidéoludique, elle propose désormais un enchaînement de chroniques sur des sujets soigneusement préparés par les membres de l'équipe.Pourquoi PlayStation a gagné la guerre du cool ? Comment le monde ouvert est-il devenu un genre ? De quoi The Last of Us est-il l'héritier ? Peut-on apprécier Kingdom Hearts 3 sans avoir joué aux précédents ? Monique Consulting a-t-il toujours raison ? Autant de questions auxquelles vous trouverez des réponses (ou pas) dans Nuisance Gaming + ! Hébergé par Acast. Visitez acast.com/privacy pour plus d'informations.",https://open.spotify.com/show/4fpE5Ri86A3zfvZNpyhIXq,https://i.scdn.co/image/ab6765630000ba8a691d7b25b98395d29be852f4
Romain Lanéry,Testeur de produits tech en tous genres depuis 2015. À fini par s’intéresser aux humains qui les fabriquent.Écoute mes musiques Lo-Fi mix en travaillant : https://hyperfollow.com/romainlaneryLivres que je te recommande : https://amzn.to/3tCLvd8Écoutez des livres audio avec Audible (30J gratuits) : https://amzn.to/3TY0dpWInstagram : @RomainLaneryCanal Instagram Romain Business Club : https://ig.me/j/AbY-fErp6H0WtWcB/Business : romainlanery@influxcrew.comCo-production et agent /influx Hébergé par Acast. Visitez acast.com/privacy pour plus d'informations.,https://open.spotify.com/show/19AAlVOxV2tKTEPIwCNEYz,https://i.scdn.co/image/ab6765630000ba8a4b5a4918412ff39ee8d26396
Planescape: Torment - The Unofficial Audio Series,"Re-discover the amazing story of the 1999 cult classic - Planescape: Torment.A fully voiced re-telling of the game's story with a modern take and narrative drive.I hope to follow on from Rhyss Hess' example in lovingly creating an homage to this wonderful story, that aims to allow new and existing fans to enjoy the narrative in an episodical, fully voiced, unofficial audio series. I will be mostly using Dan Simpson's in-depth guide to cover as much content as possible in one single playthrough.This series began as a way to challenge and stretch my voice over and audio editing capabilities; and since, has become a vast passion project where I re-experience one of my all-time favourite stories, bringing renewed life to the beautifully written characters. https://www.goodreads.com/author/show/1109783.Rhys_Hesshttps://gamefaqs.gamespot.com/pc/187975-planescape-torment/faqs/7964Planescape: Torment - Enhanced EditionBeamdog brings modern features to yet another classic isometric RPG in Planescape: Torment Enhanced Edition. Uncover secrets of past lives in this story-rich, tactical roleplaying game set in Sigil, a dark fantasy city at the heart of the Dungeons & Dragons multiverse. Explore the planes, survive combat alongside a party of unique companions, and solve puzzles unlike any ever seen in the genre. The original Planescape: Torment was released in 1999 to widespread critical acclaim. It won RPG of the Year from multiple outlets for its unconventional story, characters, and amazing soundtrack. Since then, millions of Planescape: Torment fans have enjoyed exploring the strange and dangerous city of Sigil and surrounding planes through the Nameless One's eyes.Beamdog has partnered with Chris Avellone, Lead Designer on the original Planescape: Torment, to curate Planescape: Torment: Enhanced Edition and update it with modern features to share with a new generation of role playing fans. ""Beamdog has worked hard to ensure the feel and tone of the Enhanced Edition matches the original game. At the same time, they've also taken advantage of current generation technology to allow for improvements to the interface and feel - it's the best way to play Planescape: Torment, hands-down.""Discover an incredibly rich story and a unique setting unlike anything else in fantasy. Defeat strange and alien creatures, engage in rich dialogue, and explore the dark and dangerous Planescape setting in this 50+ hour RPG classic.This is Planescape: Torment like you’ve never seen before.https://planescape.com/ Get bonus content on Patreon Hosted on Acast. See acast.com/privacy for more information.",https://open.spotify.com/show/0kUDTn07T4iJizRbqssXAO,https://i.scdn.co/image/ab6765630000ba8a9ac3e2d225b36b07efda6633
Conseil de Growth - Des méthodes concrètes et actionnables 🥔,"Pour écouter mon nouveau podcast ""S'entreprendre"" c'est juste ici 👉 https://smartlink.ausha.co/s-entreprendre ______________  Bienvenue dans Conseil de Growth, le podcast qui apporte un maximum de valeur pour implémenter le Growth dans son entreprise.  🎯 La mission ?  Inviter les experts du Growth pour vous partager leurs méthodes concrètes et actionnables.   🤓 Le concept ?    1 épisode = 1 problématique = 1 méthode   1 invité(e) qui l'a surmontée   Les solutions misent en place   Détails des étapes/process concrets   Dénicher un max de conseils   Recommandations en tout genre   Growth, Marketing, Sales, Business... il y en pour tous les goûts !   🎙 Le format :    Format de 15 à 25min   Audio   📱 Plateforme :    Toutes les plateformes (apple podcast, spotify...)  Hébergé par Ausha. Visitez ausha.co/fr/politique-de-confidentialite pour plus d'informations.",https://open.spotify.com/show/6e158SFz6pTB3UEiAY3sgr,https://i.scdn.co/image/ab6765630000ba8a0225493cef4b583447544bcb
Short Science Fiction Collection,Science fiction is a broad genre of fiction that often involves sociological and technological speculation based on current or future science or technology. This is a collection of short stories chosen by readers. Hosted on Acast. See acast.com/privacy for more information.,https://open.spotify.com/show/2rX3ONbxLOUXV3E6CXQ70E,https://i.scdn.co/image/ab6765630000ba8ac8a7fa92e6e06067414c646a
Nomad Futurist,"The nomads put a new spin on the tech genre by shining a light not only on technology but also on the human side of the digital age. Tune in if you find yourself thinking about how to integrate into the digital landscape and be a part of the evolving industry.  For over two decades, Phil and Nabeel have provided a powerful catalyst for organizations to create a vision of the future and the will to innovate. As futurists, they deliver a dynamic and entertaining vision of change, blending technology, economics, demographics, culture, and human nature.  With real business experience and a deep understanding of technology, the two nomads know the difference between science fiction and useful forecasting. Rather than focusing on the distant future, they devote themselves to scanning the horizon for emerging technologies and disruptive shifts in human behavior, thereby sharing a compelling vision of tomorrow’s opportunities.",https://open.spotify.com/show/5nFfDaLQvZu4qGq5R4mMVN,https://i.scdn.co/image/f6a8eea9cce23a9f65df6a7b81feec0a51ff1be5
Sorgatron Media Master Feed,"Sorgatron Media is producing a series of Podcasts in the Entertainment, Music, and Technology genres. This is a feed of everything we do on a weekly basis for an all inclusive collection. Includes: Wrestling Mayhem Show, AwesomeCast, Rambling Movie Minute, Boss Battle, Journal of Lifestyle Medicine, S'eclairer Chatterbox, Good Morning, WWE RAW Wraup Up, Midweek War, Wrestling Game Show and Specials!",https://open.spotify.com/show/6uQy5iyB6LCFJx7rjvjhUG,https://i.scdn.co/image/ab6765630000ba8a143a03c0afe7768276a26eee
L'Alpha de la finance,"L'Alpha de la finance est un podcast qui traite de divers sujets en lien avec la finance, allant de la planification financière à l'évaluation d'entreprises. Animé par un passionné, le podcast recevra plusieurs invités travaillant actuellement dans l'industrie pour donner un maximum d'informations pertinentes et actuelles à l'auditoire. Que vous soyez débutant, initié, ou simplement passionné par tout ce qui est finance, ce podcast est pour vous. Qui sommes-nous?Le Fonds Alpha est un fonds d’investissement unique au Québec puisqu’il est le seul fonds géré pour des étudiants, par des étudiants. Nous offrons la chance aux membres de la Faculté d’administration de l'Université Laval d’investir leur argent sans aucuns frais de gestion. Géré par 2 gestionnaires et plusieurs analystes chevronnés, le Fonds Alpha est une association étudiante unique en son genre, animée par des passionnés de la finance.",https://open.spotify.com/show/7liEVUT56PGSUpts4F5D2L,https://i.scdn.co/image/ab6765630000ba8adf6866c94e0e0a1f8e9aea96
Just the Right Book with Roxanne Coady,"Just the Right Book is a podcast hosted by Roxanne Coady, owner of famous independent bookstore R.J. Julia Booksellers in Madison, CT, that will help you discover new and note-worthy books in all genres, give you unique insights into your favorite authors, and bring you up to date with what’s happening in the literary world.",https://open.spotify.com/show/0DI91YNeFqDdf0O9HgAiQZ,https://i.scdn.co/image/ab6765630000ba8a7c9315f8ead378b1daa1b35d
Pieces of a Woman,"Each episode we will discuss and share real stories that are relevant, inspiring and  engaging as it relates to women and the life that shape us into who we are today. Every episode will be committed to engaging conversations that will include interviews with influential women, leaders, healers, authors, and close friends. We will discuss EVERYTHING, nothing is off the table, except politics, we will leave that one off the table.   DeAnna and Cristie will explore every genre from loss, grief, spirituality, divorce,  marriage, raising children, blended families, infidelity, sex, menopause, girlfriends,  those damn readers we now have hoarded in every room of the house, hormones,  mental health, alcohol, addiction, fitness and ALL experiences and challenges that shaped us into the powerful women we have become today.   Our goals and intentions are to connect our audience with services, people, and communities to help meet their needs while they explore and learn more about who they are and their purpose now and in the future. We hope our learning journey together will connect us with serious topics as well as lots of laughter and maybe some tears.",https://open.spotify.com/show/4yApxQR4UAUK3oV6eSjjG6,https://i.scdn.co/image/ab6765630000ba8a457a825938d955308c7c2ca1
Et Geet Dach!,"Egalitéit zu Lëtzebuerg - wéi ass et haut, wéi war et gëschter, a wat erhoffe mir eis fir muer? Fräi a riicht eraus, op Lëtzebuergesch oder Franséisch, d'Morena Luisi schwätzt an dësem Podcast iwwert d'Evolutioun vun der Chancegläichheet an diverse Felder. Eng Zesummenaarbecht mam MEGA, dem Ministère de l'Égalité des genres et de la Diversité.",https://open.spotify.com/show/3cErYJicm64BhR9VOfuerD,https://i.scdn.co/image/ab6765630000ba8a74e753f393dd7a82a37b995d
Origines,"Bienvenue sur Origines, le podcast qui t’emmène dans les coulisses de l’univers de la boisson française ! Ici, on va parler alcool, sans alcool, alambic, fermentation, packaging, pricing, mais aussi de bartenders, de cavistes et de revendeurs en tout genre. Bref tu l’auras compris on va parler de tout ce qui tourne autour de la boisson. Hébergé par Ausha. Visitez ausha.co/fr/politique-de-confidentialite pour plus d'informations.",https://open.spotify.com/show/3CnoCQZ5lNDuZY9EfYLS9T,https://i.scdn.co/image/ab6765630000ba8a13e4a0911ac09e9916d9e899
The Unstarving Musician,"Features conversations for musicians of all types and genres, a curation of expertise intended to help all musicians be better at marketing, business, the creative process and all the other things that empower us to do more  of what we love–make music.",https://open.spotify.com/show/47EvxqrMwJRlHUOGu0blTx,https://i.scdn.co/image/ab6765630000ba8ab083addc57f1e4a8dd8123fc
Coins & Chuckles,"Welcome to Coins & Chuckles, your go-to podcast for all things web3, NFTs, and the exciting world of the metaverse. Join us on a journey through the ever-evolving landscape of decentralized technologies, where we explore the latest trends, developments, and innovations shaping the crypto space.From discussing the hottest NFT collections and their impact on the art world to delving into the intricacies of blockchain gaming and virtual real estate, we leave no stone unturned in our quest to uncover the hidden gems of the metaverse.Led by your charismatic hosts Kenny, Chad and Michyle. Each episode is a captivating blend of insightful discussions, industry insights, and a touch of humor. Whether you're a seasoned crypto enthusiast or a curious newcomer, our podcast is designed to entertain, educate, and spark your curiosity. With their unique perspectives and witty banter, the trio delivers an entertaining and informative show that keeps you engaged from start to finish.We're also thrilled to welcome special guests, thought leaders, and industry experts who bring their unique perspectives to the table, enriching the conversation and providing valuable insights into the fast-paced world of web3.Subscribe to our podcast to stay up-to-date with the latest trends, news, and developments in the crypto and web3 space. Join our vibrant community of like-minded individuals and be part of the conversation that's shaping the future of decentralized technologies.Find us on your favorite podcast platform, and don't forget to follow us on social media [@coins_and_chuckles] for exclusive content, sneak peeks, and behind-the-scenes fun. Thank you for being part of our journey as we navigate the exciting world of web3 and NFTs![Podcast Hosts: Kenny, Michyle, Chad][Release Schedule: Weekly][Duration: Varies per episode][Genre: Technology, Crypto, NFTs, Web3, Metaverse, Education, Entertainment]",https://open.spotify.com/show/3OIuraCG2HRqku3qwcV5ua,https://i.scdn.co/image/ab6765630000ba8ab36d004520228d2696a7f76d
beatframes Podcast,Was denkt eine Olympiasiegerin in den letzten Sekunden vor der alles entscheidenden Abfahrt? Wie arbeitet ein Profiler während seiner Ermittlungen? Welche Lebensphilosophie verfolgen Österreichs TopmanagerInnen und was ist der Antrieb für die erfolgreichsten UnternehmerInnen der Welt? Antworten auf diese und viele andere Fragen liefert der beatframes Podcast.   Maximilian Hecke und Matthias Neumayer beschäftigen sich mit den Erfolgsgeschichten verschiedenster Persönlichkeiten aus unterschiedlichsten Genres und ziehen als Agenturgründer Parallelen zur Kommunikations- und Medienwelt. Wir freuen uns wenn ihr einschaltet!,https://open.spotify.com/show/1wzPuR7EhVXFfQ4xvdoMG8,https://i.scdn.co/image/ab6765630000ba8ab797a58183cfd236f31ac242
BooksxBits Podcast,"BooksxBits is an initiative with the purpose of spreading knowledge and the culture of reading to all audience around the globe by summarizing the bestselling & most influential books and presenting them in a simplified narrative through customized whiteboard animations. In this initiative, we focus on books that discuss topics of self-development, business, entrepreneurship, philosophy and psychology and a variety of book genres that play a role in educating our social media audience and enriching their knowledge.",https://open.spotify.com/show/0o9J3NC7JS99TGPVQm2ZjQ,https://i.scdn.co/image/ab6765630000ba8adf3da1fe240a32ab1fedfcae
You only live once (YOLO).,"Jai Hind  I am Sajal Roy, here to connect with each one, make a difference by sharing my learnings, experiences and more that I can serve.  Content Genre- Education, Business & Tech, Self Help & Lifestyle Development. Season 1- 62 Episodes (SSB Preparation, Student life Management using Management lessons, Relationship, Gen Z wisdom and Self-Help Content) Season 2- Launched 5 Feb 2023 (Corporate lessons & Best Practices from Management in personal life / Career Navigation/Navigating millennial struggles/ Gen Z Content). Feel free to reach out -roysajal5@gmail.com",https://open.spotify.com/show/3FVQ7SNOKznQ7cmDNLASQ6,https://i.scdn.co/image/ab6765630000ba8ab48b8c8a18f5cd0a23a3fe95
Pushing to the Front,"Published in 1894, this is the first book by the renowned inspirational author, Dr. Orison Swett Marden. Pushing to the Front is the product of many years of hard work, and marks a turning point in the life of Dr. Marden. He rewrote it following an accidental fire that brought the five-thousand-plus page manuscript to flames. It went on to become the most popular personal-development book of its time, and is a timeless classic in its genre. Filled with stories of success, triumph and the surmounting of difficulties, it is especially well-targeted at the adolescent or young adult. It is a book to inspire the reader towards a noble sense of integrity, a strong moral foundation, and solid, enduring self-discipline to let the reader put each foot forward as the leader they are meant to be.View our full collection of podcasts at our website:  https://www.solgoodmedia.com  or YouTube channel:  https://www.solgood.org/subscribe Check out our ad free subscription:  http://www.adfreesounds.com for our Premium, 10 Hour Sounds",https://open.spotify.com/show/4CEfWVWBW3CQ4z0hlVhqsi,https://i.scdn.co/image/ab6765630000ba8a0bbe08148d4646b314087f98
Does It Fly?,"Putting your favorite sci-fi and pop culture to the test! Join hosts Hakeem Oluseyi (How The Universe Works, NASA's Unexplained Files, Baking Impossible) and Tamara Krinsky (Scirens, Marvel's Red Carpet, Girls Gone Greek) as they put your favorite pop culture concepts to the test and determine once and for all if they're possible in the real world. From Roddenberry Entertainment, the heart of fandom! Roddenberry Entertainment provides thought-provoking, quality genre entertainment that sustains the legacy of founder and Star Trek creator Gene Roddenberry. We are devoted to producing viewer-centric properties that actively recognize the integral role that audiences and storytelling play in the betterment of society. Roddenberry's productions promote experience over observation; encouraging audiences to think, question, and challenge the status quo of the world in which we live. For business inquiries please contact: doesitfly@roddenberry.com",https://open.spotify.com/show/1wQDk2Hnw1WBkEyhELl2i5,https://i.scdn.co/image/ab6765630000ba8ab380cb6c692e31349879b483
Le Mâle du Siècle,"L’évolution de la société déstabilise fondamentalement le rôle des hommes. Depuis l’enfance, les hommes sont bombardés d’injonctions: sois comme-ci, sois comme ça, les hommes ça ne pleurent pas.  Beaucoup d’hommes sont déboussolés. On les accuse aujourd’hui  d’être le Mal du Siècle. Les dirigeants et chefs d’entreprises sont en première ligne : leur valeur sociale est liée à la  valeur de leur société.  En gros “Dis moi quel est ton EBITDA, je te dirais qui tu es”. Ils doivent chaque jour partir à la conquête de leur marché, inspirer leurs collaborateurs,  diriger et assumer en étant directif, inspirant, leader, à l’écoute, brillants, vifs…. ET…… un bon père, un bon mari, un bon amant. Bref, Ils croulent sous les rôles et les responsabilités. Alors, quelle est la place de l’homme, derrière ce superhéros fantasmé ? Comment naviguer dans le chaos d’une époque où tous les codes sont chamboulés? Faut il séparer l’homme du dirigeant?  Je suis Isabella Messina et nous allons  ensemble  décrypter  comment trouver sa juste place. __________________________ Le mâle du siècle est l'émission qui donne la parole aux experts, chefs d'entreprises, pères, maris.. pour exprimer leurs ressentis sur leurs places et les différents rôles qu'ils incarnent. L'enjeu est de permettre de rééquilibrer les discours pour que les hommes et les femmes puissent enfin  se comprendre  pour vivre de façon harmonieuse.  Le positionnement est clair : Ce podcast refuse toute forme d'inégalité homme/femme, de discrimination, violences, sexisme... et ce pour tous les genres. Hébergé par Ausha. Visitez ausha.co/fr/politique-de-confidentialite pour plus d'informations.",https://open.spotify.com/show/43LYtCDyloC8qz0jQxxa8Y,https://i.scdn.co/image/ab6765630000ba8ab9fc1aa4bc030ba0c53d284c
Buck Rogers in the 25th Century: Original Series,"""Buck Rogers in the 25th Century"" was a science fiction radio show that aired from 1932 to 1947. Based on the comic strip of the same name, the program followed the adventures of Buck Rogers, a World War I veteran who was frozen in suspended animation for 500 years. When he awakens, he finds himself in the 25th century, where he battles villains and saves the day with the help of his love interest, Wilma Deering, and his sidekick, Buddy Wade.The show was notable for its futuristic technology, which included spaceships, ray guns, and other high-tech gadgets. It was also one of the first science fiction programs to air on radio, paving the way for later shows like ""X Minus One"" and ""Dimension X.""The popularity of the radio show led to a syndicated newspaper comic strip and several film adaptations, including a 1939 serial and a 1950 feature film. The character of Buck Rogers has since become a pop culture icon, inspiring numerous books, comic books, and television shows.Overall, ""Buck Rogers in the 25th Century"" was a pioneering program that helped establish science fiction as a viable genre on radio. Its influence can still be seen today in popular science fiction franchises like ""Star Wars"" and ""Star Trek.""These episodes have been digitally remastered and are presented by SolvedMystery.com For more information about this and other old time radio programs please visit:https://www.solvedmystery.com .",https://open.spotify.com/show/1FWlbIBPxOcpNYKag108mT,https://i.scdn.co/image/ab6765630000ba8a112563be6b561528587d9534
WMV (World Music Views) ,"worldmusicviews.com presents World Music Views Podcast. A show about monetizing the music business, but connecting technology and cultures. Covering the biggest stories in niche music genres around the world.  Support this podcast: https://podcasters.spotify.com/pod/show/worldmusicviews/support",https://open.spotify.com/show/15P4AVRBIwZnxoU1s7zY1N,https://i.scdn.co/image/ab6765630000ba8a46d4663e61dd45000e84a858
ART MOB POD,"LEADING THE CULTURE into the Metaverse building freedom strategies through education, NFTs, Blockchain & mindset.  Art Mob is an edutechment and comedy podcast about NFTs, Blockchain, and the surrounding culture. Every week we sit with innovative creators who are taking advantage of the new technology and advancing the culture. Through a cultural lens of the Hosts we bridge the worlds of Hip Hop, Tech, Entrepreneurship, Gen Z & Gen X, bringing them along a journey to make sense of this new world.  You don’t need to listen in order! Choose a region or genre you’re interested in and dive in. Our mission is to Mint Caribbean culture on the blockchain and teach the Culture freedom strategies using NFT’s Blockchain & Mindset.  We believe that this is the most important time of our lives, there is a technology that can give power to the creators and offer democracy to those of us who have been lacking opportunity. We want to be trusted leaders to guide our culture into the future using our unique access to the information, technology and success stories that are rarely accessible at-risk communities. They have the most to gain by adoption of this lifestyle and mindset. ART MOB believes in learning the skills to avoid distraction and find the things that bring us together instead of the things that divide us. For more podcasts like ours, check out the other shows by the internet's best production collective: Multitude.  Major Dream Williams is a serial innovator with a reputation for turning problems into possibilities. A gifted interdisciplinary visionary, Dream’s background in finance and entrepreneurship fuels his ongoing influence on the world, from transforming mindsets and bodies as a fitness trainer to expanding the global palate as a plant-based culinary artist and restaurateur. Dream is skilled at synthesizing new concepts, leveraging relationships with fellow international thought leaders and decision makers. He naturally transmits joy and generates excitement and support for expanding opportunities to provide creative solutions to societal ills.",https://open.spotify.com/show/34j3tTxArPbovzuOQF8fsT,https://i.scdn.co/image/ab6765630000ba8a74aa2f3bfce23381177b9921
Rocket IT Podcast,"Focused on cutting-edge leadership and technology insight, the Rocket IT Podcast fuses these two unique genres, providing listeners with a business-oriented series unlike any other. With over 24 years of experience in the information technology industry, Rocket IT Founder and CEO, Matt Hyatt and his team guide audience members on journeys of exploration and discovery, delving deep into some of today’s most trending topics. From these endeavors, Rocket IT strives to empower listeners through the human connections we establish with guests, and the wealth of knowledge they bring to the table. By employing a listen-first approach in their discussions, Matt and his team are able to ask guests the key questions that spark both enlightening conversations and innovation. To learn more about Rocket IT and its podcast, we encourage you to visit www.rocketit.com.",https://open.spotify.com/show/3toCH8r0ZOlQQCxG3XPbUd,https://i.scdn.co/image/3129a408510b9ad9f85f0bafc91ad13902652070
